id;code_dep_code_com;no_voie;b_t_q;type_voie;voie;surface_carrez;surface_reelle;nb_pieces;type_local
28509;51 - 454;15;;RUE;JULES GUICHARD;62,04;63;3;Appartement
28510;51 - 454;30;;RUE;DERODE;52,51;51;3;Maison
28511;51 - 454;53;;RUE;FAVART D HERBIGNY;41,3;41;2;Appartement
28512;52 - 353;22;;RUE;DES ROSIERS;48,24;48;2;Appartement
28513;53 - 130;18;;RUE;EUGENE JAMIN;49,52;47;2;Appartement
28514;54 - 329;8;;RUE;DE L'ABBE PIERRE;59,23;59;3;Appartement
28515;54 - 357;30;;RUE;DE LORRAINE;72,06;71;4;Appartement
28516;54 - 395;31;;RUE;DE LA COLLINE;24,68;24;1;Appartement
28517;54 - 395;51;;RUE;NOTRE DAME DE LOURDES;55,28;60;3;Appartement
28518;56 - 186;7;;BD;RENE CASSIN;52;66;2;Appartement
28519;59 - 368;13;;RUE;DU GENERAL DE GAULLE;52,17;52;2;Appartement
28520;59 - 368;1;;RUE;DE FLANDRE;46,22;46;2;Appartement
28521;59 - 378;3;;RUE;DE L EGALITE;47,73;51;2;Appartement
28522;59 - 512;90;;BD;DE FOURMIES;79,95;76;3;Appartement
28523;59 - 599;25;;RUE;DE L YSER;49,96;40;3;Appartement
28524;59 - 606;8;;PL;D ARMES;82,4;15;1;Appartement
28525;59 - 648;26;;AV;DE L EUROPE;48,28;48;2;Appartement
28526;60 - 159;5;T;RUE;D ARONA;146,8;145;5;Maison
28527;60 - 282;9003;;RPT;DES AIGLES;33,16;34;2;Appartement
28528;60 - 635;6;;RUE;JEAN JAURES;109,06;82;4;Maison
28529;64 - 445;4;;RUE;DE BOYRIE;27,12;26;1;Appartement
28530;64 - 445;1;;AV;DES DAMES DE ST MAUR;19,6;19;1;Appartement
28531;64 - 445;73;;AV;DE MONTARDON;34,34;34;1;Appartement
28532;69 - 68;13;B;RUE;PHILIBERT GAILLARD;45,68;47;3;Appartement
28533;69 - 204;84;;RUE;DES COLLONGES;54,31;54;2;Appartement
28534;69 - 259;8;;RUE;ARISTIDE BRUANT;66,1;65;3;Appartement
28535;69 - 266;202;;CRS;EMILE ZOLA;56,3;59;3;Appartement
28536;69 - 290;5;B;RUE;GAMBETTA;54,63;58;2;Appartement
28537;69 - 290;85;;AV;JEAN JAURES;78,58;78;4;Appartement
28538;69 - 381;9;;RUE;PIERRE BLANC;53,83;65;2;Appartement
28539;69 - 382;3;;RUE;CHILDEBERT;88,09;85;3;Appartement
28540;69 - 383;35;;RUE;TURBIL;67;66;2;Appartement
28541;69 - 385;13;;RUE;TROUVEE;149,43;142;7;Maison
28542;69 - 385;122;B;RUE;COMMANDANT CHARCOT;57,58;61;3;Appartement
28543;69 - 386;11;;RUE;CRILLON;55,37;58;2;Appartement
28544;69 - 388;23;;RUE;CLAUDE VIOLET;53,09;42;2;Appartement
28545;69 - 389;39;;RUE;SAINT PIERRE DE VAISE;26,5;33;2;Appartement
28546;71 - 76;2;;RUE;LOUIS BLERIOT;45,25;46;2;Appartement
28547;71 - 270;164;;RUE;SAINT ANTOINE;45,74;47;2;Appartement
28548;71 - 342;13;;RUE;DU 8 MAI;69,66;69;3;Appartement
28549;72 - 181;11;;RUE;DE TORCE;17,83;18;1;Appartement
28550;72 - 299;2;;;LA ROSELIERE;158,8;106;6;Maison
28551;74 - 12;1;;RUE;DES VOIRONS;61,14;57;2;Appartement
28552;74 - 85;135;;CHE;DE NIVORIN D EN BAS;58,54;58;1;Appartement
28553;74 - 160;190;;CHE;DU LAC;22,22;22;2;Appartement
28554;74 - 298;19;;RTE;DE LIVRON;66,59;67;3;Appartement
28555;75 - 103;50;;RUE;DU VERTBOIS;22,25;16;1;Appartement
28556;75 - 103;97;;RUE;BEAUBOURG;10,96;22;1;Appartement
28557;75 - 103;62;;RUE;CHAPON;20,49;22;1;Appartement
28558;75 - 107;11;;PAS;DE L UNION;14,35;13;1;Appartement
28559;75 - 107;18;;RUE;AMELIE;15,8;25;1;Appartement
28560;75 - 108;41;;RUE;D AMSTERDAM;99,23;101;4;Appartement
28561;75 - 108;32;;RUE;DE CONSTANTINOPLE;36,2;37;2;Appartement
28562;75 - 109;29;;RUE;DE DOUAI;19,03;20;1;Appartement
28563;75 - 109;13;A;RUE;BLEUE;64,56;69;3;Appartement
28564;75 - 110;237;;RUE;LA FAYETTE;57,29;60;3;Appartement
28565;75 - 111;28;;RUE;SEDAINE;7,6;41;2;Appartement
28566;75 - 112;102;;RUE;DE CHARENTON;53,15;54;2;Appartement
28567;75 - 115;84;;BD;PASTEUR;58,43;58;3;Appartement
28568;75 - 116;8;;RUE;RENE BAZIN;107,95;112;5;Appartement
28569;75 - 116;25;;RUE;LECONTE DE LISLE;44,1;42;2;Appartement
28570;75 - 116;16;;RUE;CORTAMBERT;30,82;36;2;Appartement
28571;75 - 116;4;;RUE;FOUCAULT;100,5;100;4;Appartement
28572;75 - 117;40;;RUE;SAINT FERDINAND;68,55;70;3;Appartement
28573;75 - 117;30;;RUE;DES DAMES;65,15;88;3;Appartement
28574;75 - 117;45;;RUE;BOURSAULT;20,8;20;1;Appartement
28575;75 - 117;155;;RUE;LEGENDRE;20,45;20;1;Appartement
28576;75 - 118;93;;RUE;BELLIARD;37,51;33;2;Appartement
28577;75 - 118;74;;RUE;MYRHA;27,62;35;2;Appartement
28578;75 - 119;18;;RUE;DE PALESTINE;32,07;37;2;Appartement
28579;75 - 119;50;;RUE;REBEVAL;50,15;51;3;Appartement
28580;75 - 119;28;;AV;SIMON BOLIVAR;71,66;73;3;Appartement
28581;75 - 120;9;A;RUE;LESAGE;61,64;33;1;Appartement
28582;75 - 120;35;;RUE;DE LA DUEE;31,5;31;2;Appartement
28583;75 - 120;23;;PAS;GAMBETTA;55,23;56;2;Appartement
28584;75 - 120;3;;VLA;GAGLIARDINI;18,8;15;1;Appartement
28585;75 - 120;7;;RUE;EMILE LANDRIN;33,81;33;1;Appartement
28586;76 - 540;83;;RUE;DU RENARD;28,8;33;2;Appartement
28587;76 - 540;52;;RTE;DE NEUFCHATEL;25,88;15;1;Appartement
28588;77 - 100;1;B;RUE;DE LA LOGE AUX BERGERS;48,4;48;2;Appartement
28589;77 - 108;49;;RUE;GAMBETTA;27,11;27;1;Appartement
28590;77 - 118;7;T;RUE;DE L EGLISE;63,6;64;2;Appartement
28591;77 - 152;84;;ALL;DU SEQUOIA;58,52;58;3;Appartement
28592;77 - 288;5;;PL;GALLIENI;20,13;18;1;Appartement
28593;77 - 294;22;;RUE;DANIELLE CASANOVA;96,71;80;3;Maison
28594;77 - 296;319;;RUE;DE LONDRES;57,4;49;2;Appartement
28595;77 - 307;23;;RUE;D AMSTERDAM;22,02;22;1;Appartement
28596;77 - 337;6;;SQ;DES PERDREAUX;106,22;107;5;Appartement
28597;77 - 430;1;;RUE;DU POIRIER FOURCHU;75,23;80;2;Appartement
28598;78 - 123;15;;RUE;DE LA SENETTE;98,68;121;5;Appartement
28599;78 - 133;12;;RUE;DE LA CLOSERIE;76;75;3;Appartement
28600;78 - 133;2;;ALL;DES ECUYERS;105,12;104;5;Appartement
28601;78 - 208;2;;AV;DE VILLEDIEU;52,3;52;2;Appartement
28602;78 - 242;3;;RUE;CESAR FRANCK;44,83;44;2;Appartement
28603;78 - 358;24;;RUE;MASSON;42,29;43;2;Appartement
28604;78 - 481;1;B;RUE;BELLAVOINE;53,26;53;3;Appartement
28605;78 - 498;14;;RUE;DU PONT ANCIEN;69,59;70;3;Appartement
28606;78 - 502;43;;RUE;DE PARIS;88,33;92;5;Appartement
28607;78 - 517;54;;RUE;RAYMOND PATENOTRE;29,19;29;1;Appartement
28608;78 - 551;2;B;RUE;DES MARAIS;63,08;63;3;Appartement
28609;78 - 586;84;B;AV;DE TOBROUK;83,31;85;5;Appartement
28610;78 - 642;15;;RUE;DU MARECHAL KOENIG;31,73;30;1;Appartement
28611;78 - 646;56;;RUE;DE MONTREUIL;25,09;13;1;Appartement
28612;78 - 646;1;;RUE;DE L ASSEMBLEE NATIONALE;47,25;48;2;Appartement
28613;78 - 646;23;;RUE;HENRI DE REGNIER;32,08;27;2;Appartement
28614;78 - 686;9002;;CLOS;SAINT VIGOR;52,1;52;3;Appartement
28615;79 - 191;53;;RUE;TARTIFUME;86,3;105;4;Appartement
28616;80 - 39;12;;RUE;DES FONTS BENITS;27,3;32;2;Appartement
28617;80 - 620;28;;RUE;GEORGES CLEMENCEAU;44,16;48;1;Appartement
28618;80 - 721;1023;;RUE;DU CHANTIER;28,59;29;1;Appartement
28619;83 - 62;1107;;AV;DE LA PAIX;42,02;41;2;Appartement
28620;83 - 69;336;;BD;DE LA MARINE;40,01;41;2;Appartement
28621;83 - 71;775;;AV;DE LA BAIE DES ISLES;28,6;33;2;Appartement
28622;83 - 72;8;;RUE;DE LA TRINITE;11,9;20;1;Appartement
28623;83 - 90;5;;RUE;BAUDIN;35,42;35;1;Appartement
28624;83 - 107;2456;;RTE;DEPARTEMENTALE 7 DU MUY;61,43;62;3;Appartement
28625;83 - 123;487;;AV;DES PRATS;63,54;62;3;Appartement
28626;83 - 126;71;;;IMP GRIFFA;69,95;69;3;Appartement
28627;83 - 126;10;;RUE;TAYLOR;40,22;39;1;Appartement
28628;83 - 137;677;;RUE;DAVID;67,66;60;3;Appartement
28629;84 - 7;3;;RUE;SAINT PIERRE;17;15;1;Appartement
28630;84 - 31;72;;RUE;DE LA FIOLE;56,07;55;2;Appartement
28631;84 - 35;9001;;FG;DU CAGNARD;67,66;67;3;Appartement
28632;85 - 194;9001;;RUE;DU PALAIS;56,66;63;3;Appartement
28633;88 - 413;29;B;RUE;DE LA PRAIRIE;68,91;69;3;Appartement
28634;89 - 414;17;B;RTE;DE VOISINES;49,4;50;2;Appartement
28635;91 - 97;9001;;RES;LES MARELLES;82,72;83;4;Appartement
28636;91 - 114;14;;RUE;DES VALLEES;83,22;82;4;Appartement
28637;91 - 135;19;;RUE;DES ETANGS;82,03;79;4;Maison
28638;91 - 161;36;;AV;MAZARIN;101,4;101;4;Appartement
28639;91 - 223;99;;RUE;DE LA REPUBLIQUE;28,35;30;1;Appartement
28640;91 - 226;4;;RUE;DE LA ROCHE BENOTTE;19,88;20;1;Appartement
28641;91 - 232;7;;RUE;DE L HOTEL DE VILLE;61,62;63;4;Appartement
28642;91 - 494;2;B;RUE;DES CAPETTES;73,24;78;4;Appartement
28643;91 - 549;224;;RTE;DE CORBEIL;48,13;55;2;Appartement
28644;91 - 617;1;;RUE;GALILEE;73,52;71;3;Appartement
28645;92 - 19;3;;RUE;VOLTAIRE;27,85;31;2;Appartement
28646;92 - 24;2;;BD;JEAN JAURES;43,64;44;2;Appartement
28647;92 - 24;15;;RUE;DE PARIS;84,04;60;3;Appartement
28648;92 - 26;1;;RUE;DE COLOMBES;73,72;80;3;Appartement
28649;92 - 26;8;;RUE;JULES FERRY;49,75;49;2;Appartement
28650;92 - 26;115;;RUE;JEAN BAPTISTE CHARCOT;44,25;44;2;Appartement
28651;92 - 40;22;;BD;VOLTAIRE;97,42;120;3;Appartement
28652;92 - 40;16;;ALL;DU PUITS;67,54;67;3;Appartement
28653;92 - 40;78;;BD;GALLIENI;72,12;71;3;Appartement
28654;92 - 49;7;;RUE;SYLVINE CANDAS;72,32;70;1;Appartement
28655;92 - 51;8;;RUE;DELABORDERE;50,22;50;2;Appartement
28656;92 - 51;8;;RUE;DELABORDERE;49,05;51;2;Appartement
28657;92 - 51;20;;RUE;CHARTRAN;42,85;37;2;Appartement
28658;92 - 51;23;;AV;SAINTE FOY;82,92;85;3;Appartement
28659;92 - 60;119;;AV;EDOUARD HERRIOT;91,97;91;4;Appartement
28660;92 - 62;2;;RUE;GERHARD;41,71;41;2;Appartement
28661;92 - 62;23;;RUE;LOUIS POUEY;93,78;100;4;Appartement
28662;92 - 62;5;;RUE;DE L OASIS;28,19;27;2;Appartement
28663;92 - 62;21;;RUE;ROUGET DE LISLE;71,72;64;3;Appartement
28664;93 - 1;7;;RUE;DE L ABEILLE;76,07;76;4;Appartement
28665;93 - 5;72;;BD;CHARLES FLOQUET;86,18;88;5;Maison
28666;93 - 32;11;;VLA;GIOT;61,22;61;4;Appartement
28667;93 - 32;20;;RUE;JEAN MOULIN;39,81;39;2;Appartement
28668;93 - 48;42;;RUE;EDOUARD VAILLANT;78,62;80;3;Appartement
28669;93 - 51;50;T;AV;GEORGES CLEMENCEAU;41,67;55;2;Appartement
28670;94 - 4;22;;AV;DU GAL LECLERC;67,57;64;3;Appartement
28671;94 - 18;193;;RUE;DE PARIS;52,54;53;3;Appartement
28672;94 - 22;26;;RUE;FREDERIC JOLIOT CURIE;64,8;64;3;Appartement
28673;94 - 28;60;;RUE;DU GENERAL LECLERC;78,98;80;4;Appartement
28674;94 - 28;11;;RUE;DU GENERAL LECLERC;45,47;53;3;Appartement
28675;94 - 34;5;;ALL;DU MALI;66,59;73;4;Appartement
28676;94 - 52;8;;RUE;NOUVELLE;43,37;39;2;Appartement
28677;94 - 52;1;;AV;MARECHAL LYAUTEY;84,72;87;5;Appartement
28678;94 - 52;48;;BD;GAMBETTA;55,87;60;2;Appartement
28679;94 - 58;229;;AV;DU GENERAL DE GAULLE;47,05;51;3;Appartement
28680;94 - 59;38;;AV;GONZALVE;64,35;63;3;Appartement
28681;94 - 59;4;;AV;DE L EDEN;59,83;59;3;Appartement
28682;94 - 60;5;;RUE;SEBASTOPOL;45,51;45;2;Appartement
28683;94 - 65;8;;RUE;EDME VERNIQUET;43,8;44;2;Appartement
28684;94 - 68;118;;AV;MAHIEU;28,14;27;1;Appartement
28685;94 - 81;7;;RUE;BAIGNADE;26,53;28;2;Appartement
28686;95 - 127;26;;RUE;DE L AISSELETTE;97,9;97;5;Maison
28687;95 - 127;42;;AV;DU HAZAY;43,05;43;2;Appartement
28688;95 - 127;10;;AV;DES TROIS EPIS;34,14;34;2;Appartement
28689;95 - 197;7;;RUE;ABEL FAUVEAU;51;53;2;Appartement
28690;95 - 219;3;;ALL;SAINT JOHN PERSE;54,2;54;2;Appartement
28691;95 - 500;19;;RUE;DE BRETAGNE;73,72;74;4;Maison
28692;95 - 555;3;;RUE;MARCELIN BERTHELOT;66,67;63;3;Appartement
28693;974 - 411;6;;RUE;DES JACINTHES;19,14;19;1;Appartement
28694;974 - 411;72;;AV;EUDOXIE NONGE;139,44;139;5;Appartement
28695;02 - 722;2;B;BD;EDOUARD BRANLY;68,37;67;3;Appartement
28696;03 - 310;4;;RUE;HUBERT COLOMBIER;40,57;45;2;Appartement
28697;05 - 40;9007;;RUE;DES EYGUIERES;100,11;100;5;Maison
28698;06 - 4;7;;AV;DOCTEUR DAUTHEVILLE;23,6;25;2;Appartement
28699;06 - 75;5;;RUE;ANFOSSI;16,72;60;5;Appartement
28700;06 - 88;97;;BD;JEAN BEHRA;38,46;40;2;Appartement
28701;06 - 88;23;;AV;DE GAIRAUT;60,26;70;3;Appartement
28702;06 - 88;21;;AV;DE LA REPUBLIQUE;36,22;35;3;Appartement
28703;06 - 88;3;;RUE;FODERE;22,24;32;2;Appartement
28704;06 - 88;19;;BD;RAIMBALDI;73,07;85;3;Appartement
28705;06 - 88;186;;AV;DE PESSICART;72,05;72;3;Appartement
28706;06 - 88;188;;AV;DE FABRON;22,49;24;1;Appartement
28707;06 - 120;5;;RUE;DROITE;19,32;20;1;Appartement
28708;06 - 155;135;;AV;DE LA LIBERTE;21,08;21;1;Appartement
28709;06 - 161;281;;CHE;DE GAROUMIOU;82,3;93;4;Maison
28710;11 - 145;2;;AV;DES GOELANDS;19,05;25;1;Maison
28711;11 - 202;268;;RES;TERRASSES MEDITERRANEE 1;21,2;29;2;Appartement
28712;13 - 212;44;;AV;VINCENT VAN GOGH;35,5;35;2;Appartement
28713;13 - 213;153;;CHE;DE CHATEAU GOMBERT;88,13;87;5;Appartement
28714;14 - 701;5522;;;MONT CANISY;40,36;60;2;Appartement
28715;14 - 715;22;;RUE;CIRCULAIRE;21,06;21;2;Appartement
28716;14 - 754;9005;;VC;RES LE FRANCE;32,84;33;2;Appartement
28717;17 - 28;4;;BD;DU COMMANDANT CHARCOT;38,8;39;2;Appartement
28718;22 - 282;2;;RUE;DES AJONCS D OR;54,31;53;2;Appartement
28719;22 - 339;4;;RUE;DU BOCAGE;47,72;47;2;Appartement
28720;22 - 339;9;;RUE;DU PRE D'AHAUT;83,76;82;4;Maison
28721;26 - 58;5;;PL;PLACE DES RENCONTRES;67,6;67;3;Appartement
28722;26 - 198;9;;ALL;DES URSULINES;55,02;56;2;Appartement
28723;26 - 218;23;;RUE;DES VIOLETTES;92,1;92;5;Maison
28724;26 - 362;15;;AV;DU VERCORS;57,24;56;3;Appartement
28725;27 - 681;8;;RUE;DE LA NATION;103,94;103;4;Appartement
28726;27 - 681;11;T;RUE;ALEXIS DE TOCQUEVILLE;61,84;62;3;Appartement
28727;27 - 681;11;T;RUE;ALEXIS DE TOCQUEVILLE;66,21;65;3;Appartement
28728;28 - 209;8;;AV;DE LA PAIX;24,07;30;1;Appartement
28729;29 - 19;2;;RUE;DES DEUX FRERES GUEZENEC;49,3;50;2;Appartement
28730;29 - 103;2;;RUE;DU DOCTEUR POULIQUEN;53,74;55;3;Appartement
28731;2A - 130;5810;;RES;HTS JARDINS PORTICCIO;47,87;52;3;Appartement
28732;2A - 130;5400;;VGE;DE TERRA BELLA;30,81;32;2;Appartement
28733;30 - 189;15;;RUE;JOSIAS PAUT;51,95;51;3;Appartement
28734;30 - 276;18;;CHE;DE VACARESSE;34,72;36;2;Appartement
28735;31 - 555;160;;RUE;DU FAUBOURG BONNEFOY;22,24;40;2;Appartement
28736;32 - 96;5906;;RUE;DU VERT GALANT;27;27;1;Appartement
28737;33 - 39;8;;ALL;DES TERRES NEUVES;41,98;42;2;Appartement
28738;33 - 63;8;;RUE;MONADEY;72,55;68;3;Appartement
28739;33 - 63;145;;RUE;SAINTE CATHERINE;46,25;46;2;Appartement
28740;33 - 63;208;;RUE;DE L ECOLE NORMALE CAUD;24,97;26;1;Appartement
28741;33 - 199;60;;CRS;DE VERDUN;92,12;70;4;Appartement
28742;33 - 281;18;;RUE;DE GUIRAUTON;47,79;47;2;Appartement
28743;33 - 281;18;;RUE;DE GUIRAUTON;48,02;48;2;Appartement
28744;33 - 318;11;;ALL;DES TULIPES;33,65;33;2;Appartement
28745;34 - 333;9045;F;RES;LES CABROLS;37,13;35;3;Maison
28746;35 - 284;29;;GR;GRANDE RUE;75,27;55;2;Appartement
28747;35 - 360;36;;BD;DE CHATEAUBRIANT;29,79;29;1;Appartement
28748;37 - 132;24;B;AV;ARISTIDE BRIAND;48;48;2;Appartement
28749;37 - 261;70;;RUE;NERICAULT DESTOUCHES;34,97;35;2;Appartement
28750;38 - 61;190;;PL;DE LA MAIRIE;49,7;49;2;Appartement
28751;38 - 185;5;;RUE;VOLTAIRE;160,66;150;4;Appartement
28752;38 - 185;1;;RUE;ERNEST RENAN;75,71;83;4;Appartement
28753;38 - 185;21;;AV;MARCELIN BERTHELOT;20,58;20;1;Appartement
28754;38 - 186;88;;IMP;PERCE NEIGE;63,14;55;3;Appartement
28755;39 - 300;160;;RUE;REGARD;106;92;4;Appartement
28756;39 - 300;77;;RUE;SIMONE WEIL;62,5;63;3;Appartement
28757;40 - 1;11;;RUE;PAUL DUTHIL;69,65;71;3;Appartement
28758;40 - 46;185;;AV;GABRIELE  D ANNUNZIO;37,61;39;2;Appartement
28759;40 - 88;33;;RUE;DE LA CROIX BLANCHE;32,36;33;1;Appartement
28760;40 - 192;257;;RUE;RENEE DARRIET;42,96;43;2;Appartement
28761;41 - 18;63;;RUE;DENIS PAPIN;49,37;60;2;Appartement
28762;42 - 187;10;;BD;BARON DU MARAIS;41,35;40;1;Appartement
28763;42 - 218;26;;RUE;VISITATION;57,61;27;1;Appartement
28764;44 - 55;44;;BD;DOCTEUR RENE DUBOIS;60,7;62;3;Appartement
28765;44 - 109;6;;RUE;GAMBETTA;27,65;135;5;Appartement
28766;44 - 109;25;;RUE;CHANOINE LAROSE;66,51;40;2;Appartement
28767;44 - 184;23;;RUE;COMMANDANT CHARCOT;25,35;25;2;Appartement
28768;45 - 4;12;;RUE;PIERRE BROSSOLETTE;44,89;46;2;Appartement
28769;45 - 234;3;;RUE;DES CLOCHES ST PAUL;46,08;47;2;Appartement
28770;45 - 284;13;;PL;DE LA COMMUNE;47,68;47;2;Appartement
28771;45 - 298;56;B;RTE;DE ST MESMIN;29,36;35;1;Appartement
28772;50 - 99;11;;RUE;HOLGATE;33,36;40;2;Appartement
28773;51 - 108;9;;RUE;DU GENERAL EDMOND BUAT;85,78;85;4;Appartement
28774;51 - 108;43;;RUE;DE FAGNIERES;50,23;53;2;Appartement
28775;51 - 230;2;;QUAI;DE L ILE BELON;98,89;100;4;Appartement
28776;51 - 454;4;;RUE;DU BASTION;22,9;25;1;Appartement
28777;54 - 439;9;;RUE;D ALSACE;94,95;94;5;Appartement
28778;54 - 549;123;;RUE;GABRIEL PERI;37;45;2;Appartement
28779;56 - 78;7484;;RES;LE MAEVA;38,4;41;2;Appartement
28780;59 - 14;1;;RUE;F FERRER BAT CHENE;72,4;73;3;Appartement
28781;59 - 350;32;;AV;DU PEUPLE BELGE;89,98;95;5;Appartement
28782;59 - 350;19;;RUE;DU PLAT;50,03;50;3;Appartement
28783;60 - 159;4;;RUE;DU DOCTEUR CALMETTE;79,68;63;4;Appartement
28784;60 - 159;45;;RUE;SAINT GERMAIN;46,79;47;2;Appartement
28785;60 - 463;2;;RUE;GAMBETTA;16,06;16;1;Appartement
28786;60 - 695;3;;RUE;POISSONNIERE;78,78;79;4;Appartement
28787;62 - 41;31;;RUE;D AMIENS;56,35;55;2;Appartement
28788;64 - 445;32;;AV;FEDERICO GARCIA LORCA;85,68;76;3;Appartement
28789;66 - 37;11;;AV;DE LA MEDITERRANEE;25,77;26;1;Appartement
28790;69 - 7;5;;AV;DU CHATEAU;111,5;110;5;Maison
28791;69 - 34;11;;RUE;JEAN MOULIN;61,94;64;3;Appartement
28792;69 - 34;9;;CHE;DE PLAIN VALLON;27,17;29;1;Appartement
28793;69 - 202;27;;CHE;DES FONDS;64,27;64;2;Appartement
28794;69 - 259;12;B;AV;D OSCHATZ;39,65;39;2;Appartement
28795;69 - 264;787;;RUE;JEAN BAPTISTE MARTINI;69,95;69;3;Appartement
28796;69 - 266;111;;RUE;DU QUATRE AOUT;90,28;89;3;Appartement
28797;69 - 271;39;;RTE;DE LYON;83,2;92;4;Appartement
28798;69 - 282;17;;RUE;JEAN-LOUIS BARRAULT;49,73;49;2;Appartement
28799;69 - 282;7;;ALL;DES CEDRES;61,63;61;2;Appartement
28800;69 - 381;34;;RUE;TABLES CLAUDIENNES;70,55;78;3;Appartement
28801;69 - 383;45;;RUE;VILLEROY;64,45;63;3;Appartement
28802;69 - 383;17;;RUE;PFR RENE GUILLET;88,09;88;4;Appartement
28803;69 - 384;69;;RUE;HENRI GORJUS;63,21;64;2;Appartement
28804;69 - 384;6;;RUE;DE LA CORNICHE;223,43;60;2;Maison
28805;69 - 386;34;;BD;DES BROTTEAUX;46,48;41;2;Appartement
28806;69 - 386;74;;RUE;BOSSUET;18,02;17;1;Appartement
28807;69 - 388;66;;BD;JEAN VINGT TROIS;81,6;82;4;Appartement
28808;69 - 389;40;;QUAI;PIERRE SCIZE;61,76;60;2;Appartement
28809;72 - 299;31;;RES;JEANNE D ARC;64,65;63;3;Maison
28810;74 - 10;2;;RUE;DES NOISETIERS;5,6;79;4;Appartement
28811;74 - 10;23;;COTE;PERRIERE;35,63;35;1;Appartement
28812;74 - 12;5;;CLOS;DU CEDRE BLEU;44,14;43;2;Appartement
28813;74 - 12;32;;AV;DE LA GARE;37,81;38;1;Appartement
28814;74 - 14;9002;;;FLAINE;56,32;52;3;Appartement
28815;74 - 134;785;;RUE;DU CENTRE;31,14;31;2;Appartement
28816;74 - 160;138;;RTE;DE LA CAPIEU;22,19;22;2;Appartement
28817;75 - 103;76;;RUE;DE TURENNE;21,3;22;1;Appartement
28818;75 - 107;29;;RUE;PIERRE LEROUX;56,85;54;3;Appartement
28819;75 - 108;58;;RUE;DE LONDRES;48,72;48;2;Appartement
28820;75 - 109;44;;RUE;JEAN BAPTISTE PIGALLE;22,52;30;2;Appartement
28821;75 - 110;75;;RUE;DU FBG ST MARTIN;57,42;63;3;Appartement
28822;75 - 110;57;;RUE;BICHAT;37,28;48;4;Appartement
28823;75 - 110;33;;RUE;DE SAMBRE ET MEUSE;35,16;35;3;Appartement
28824;75 - 111;4;;RUE;AUGUSTE BARBIER;29,42;30;2;Appartement
28825;75 - 111;53;;RUE;DE LA ROQUETTE;13,05;10;1;Appartement
28826;75 - 111;84;;AV;PHILIPPE AUGUSTE;51,02;52;2;Appartement
28827;75 - 112;97;;AV;DU GAL MICHEL BIZOT;86,17;87;5;Appartement
28828;75 - 112;40;;RUE;MONTGALLET;27,8;26;2;Appartement
28829;75 - 112;31;;RUE;DE REUILLY;11,75;11;1;Appartement
28830;75 - 115;25;;RUE;DE CRONSTADT;28,03;29;2;Appartement
28831;75 - 115;192;B;RUE;DE VAUGIRARD;73,25;70;3;Appartement
28832;75 - 115;13;;AV;FELIX FAURE;48,97;40;2;Appartement
28833;75 - 116;3;;RUE;NARCISSE DIAZ;65,35;62;2;Appartement
28834;75 - 116;88;T;RUE;MICHEL ANGE;99,08;97;3;Appartement
28835;75 - 116;10;;RUE;DE CIVRY;92,33;91;4;Appartement
28836;75 - 116;5;;SQ;MIGNOT;86,47;90;2;Appartement
28837;75 - 117;11;;RUE;LEON COGNIET;94,09;95;4;Appartement
28838;75 - 117;4;;RUE;BARON;36,02;38;2;Appartement
28839;75 - 118;21;;RUE;DES SAULES;12,59;15;1;Appartement
28840;75 - 118;62;;RUE;DU POTEAU;46,82;46;2;Appartement
28841;75 - 118;1;;IMP;ST FRANCOIS;18,01;18;1;Appartement
28842;75 - 118;74;;RUE;CHAMPIONNET;48,96;49;3;Appartement
28843;75 - 118;41;;BD;ORNANO;14,06;14;1;Appartement
28844;75 - 118;51;;RUE;HERMEL;77,28;76;4;Appartement
28845;75 - 118;58;B;RUE;RAMEY;84,69;85;4;Appartement
28846;75 - 118;2;;RUE;JULES JOUY;31,6;31;2;Appartement
28847;75 - 118;50;;RUE;MARX DORMOY;18,31;18;1;Appartement
28848;75 - 119;232;;RUE;DE CRIMEE;35,21;32;2;Appartement
28849;75 - 119;21;;RUE;EUGENE JUMIN;40,91;40;3;Appartement
28850;75 - 119;85;;RUE;MANIN;119,14;119;5;Appartement
28851;75 - 119;43;;RUE;MANIN;53,68;52;3;Appartement
28852;75 - 120;36;;RUE;SORBIER;42;41;2;Appartement
28853;76 - 351;21;;RUE;LABEDOYERE;80,45;82;4;Appartement
28854;76 - 351;4;;IMP;LE CAM;24,4;21;1;Appartement
28855;76 - 540;24;;RUE;DE CAMPULLEY;18,46;16;1;Appartement
28856;76 - 540;7;;RUE;HECTOR BERLIOZ;67,28;66;3;Appartement
28857;76 - 540;3;;RUE;CHARLOTTE PERRIAND;90,25;90;4;Appartement
28858;77 - 108;65;;AV;DE LA RESISTANCE;82,48;82;4;Appartement
28859;77 - 111;6;;RUE;D ARIANE;43,54;43;2;Appartement
28860;77 - 114;1;;PL;DE L EGLISE;33,05;33;2;Appartement
28861;77 - 122;14;;RUE;SOMMEVILLE;82,5;88;4;Appartement
28862;77 - 127;21;B;RUE;EUGENE DORLET;27,9;38;2;Appartement
28863;77 - 131;19;;RUE;YVETTE TROISPOUX;56,69;56;4;Appartement
28864;77 - 284;30;;RUE;DE LA GRANDE ILE;33,39;32;1;Appartement
28865;77 - 288;35;;AV;GEORGES POMPIDOU;76,4;74;4;Appartement
